,as_of,ask_id,equity_econ_sector_basic_materials_pct_long_rs,equity_econ_sector_communication_services_pct_long_rs,equity_econ_sector_consumer_cyclical_pct_long_rs,equity_econ_sector_consumer_defensive_pct_long_rs,equity_econ_sector_energy_pct_long_rs,equity_econ_sector_financial_services_pct_long_rs,equity_econ_sector_healthcare_pct_long_rs,equity_econ_sector_industrials_pct_long_rs,equity_econ_sector_real_est_pct_long_rs,equity_econ_sector_technology_pct_long_rs,equity_econ_sector_utilities_pct_long_rs,equity_style_small_core_pct_long_rs,equity_style_small_value_pct_long_rs,equity_style_small_growth_pct_long_rs,equity_style_mid_value_pct_long_rs,equity_style_mid_growth_pct_long_rs,equity_style_mid_core_pct_long_rs,equity_style_large_value_pct_long_rs,equity_style_large_growth_pct_long_rs,equity_style_large_core_pct_long_rs,asset_alloc_conv_bond_pct_long_rs,asset_alloc_bond_pct_long_rs,asset_alloc_cash_pct_long_rs,asset_alloc_equity_pct_long_rs,asset_alloc_other_pct_long_rs,asset_alloc_pref_stock_pct_long_rs,credit_qual_a_pct,credit_qual_aa_pct,credit_qual_aaa_pct,credit_qual_b_pct,credit_qual_bb_pct,credit_qual_bbb_pct,credit_qual_below_b_pct,credit_qual_not_rated_pct,fixed_inc_ps_ag_mtge_bck_pct_long_rs,fixed_inc_ps_asset_bck_pct_long_rs,fixed_inc_ps_bank_loan_pct_long_rs,fixed_inc_ps_commercial_mtge_bck_pct_long_rs,fixed_inc_ps_convertible_pct_long_rs,fixed_inc_ps_corporate_bond_pct_long_rs,fixed_inc_ps_covered_bond_pct_long_rs,fixed_inc_ps_forward_future_pct_long_rs,fixed_inc_ps_gov_pct_long_rs,fixed_inc_ps_gov_related_pct_long_rs,fixed_inc_ps_municipal_tax_exempt_pct_long_rs,fixed_inc_ps_municipal_taxable_pct_long_rs,fixed_inc_ps_non_ag_res_mtge_bck_pct_long_rs,fixed_inc_ps_option_warrant_pct_long_rs,fixed_inc_ps_preferred_stock_pct_long_rs,fixed_inc_ps_swap_pct_long_rs
0,2000-01,B10612,8.32,9.49,5.39,7.43,6.14,28.75,4.66,18.71,0.0,5.84,5.27,0.69,9.57,0.0,29.97,0.62,7.95,41.73,3.21,6.26,0.0,0.0,1.65,98.35,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-02,B04687,3.16,5.08,5.94,9.18,10.75,19.8,9.77,17.79,1.11,12.69,4.72,1.57,3.2,0.0,13.74,7.08,7.41,40.86,6.73,19.42,0.0,1.08,3.6,94.26,0.19,0.88,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.77,0.0
2,2000-02,B06753,0.0,3.35,13.0,11.77,1.33,4.25,16.96,5.78,0.0,43.56,0.0,0.9,0.0,0.43,0.0,5.93,0.91,12.34,60.31,19.19,0.0,0.0,6.41,93.59,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2000-02,B08336,2.25,6.69,9.38,8.81,6.23,12.84,10.24,8.65,0.0,33.19,1.71,0.09,0.44,0.0,6.56,2.26,3.59,29.09,35.59,22.38,0.0,0.0,0.35,99.65,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2000-02,B10612,8.63,9.38,5.25,8.01,5.75,28.85,4.28,17.92,0.0,7.11,4.81,0.8,10.28,0.0,32.87,0.14,5.38,40.23,3.36,6.96,0.0,0.0,3.05,96.95,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2000-03,B03193,1.74,3.88,16.74,6.13,0.79,11.84,13.51,10.71,0.0,34.25,0.41,3.46,1.73,5.73,3.49,20.09,9.82,8.49,33.72,13.48,0.0,0.13,16.68,83.19,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2000-03,B04687,3.62,6.48,6.71,9.96,9.99,19.08,9.74,19.11,1.02,10.42,3.86,1.62,1.39,0.0,11.16,5.96,14.95,46.53,5.61,12.78,0.0,0.97,2.55,95.6,0.18,0.7,,,,,,,,,0.0,0.0,0.0,0.0,0.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0
7,2000-03,B05011,0.0,9.9,7.27,22.72,4.26,11.48,9.86,0.85,10.07,20.35,3.24,1.19,5.08,0.98,24.26,8.34,6.8,18.64,12.04,22.69,0.0,43.33,2.38,49.19,0.35,4.76,,,,,,,,,0.0,8.26,0.0,0.0,0.3,69.83,0.0,0.0,0.0,0.0,0.0,0.0,6.08,0.0,9.42,0.0
8,2000-03,B05548,2.17,7.39,9.53,8.12,6.14,13.35,9.73,8.83,0.0,33.12,1.62,0.18,0.46,0.0,6.69,2.63,3.87,29.83,35.44,20.91,0.0,0.0,3.68,96.32,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2000-03,B06753,0.0,1.81,13.34,11.8,1.26,4.76,15.77,5.91,0.0,45.36,0.0,1.63,0.0,0.0,0.0,6.29,2.31,7.99,59.41,22.37,0.0,0.0,1.95,98.05,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
