,as_of,ask_id,equity_econ_sector_basic_materials_pct_long_rs,equity_econ_sector_communication_services_pct_long_rs,equity_econ_sector_consumer_cyclical_pct_long_rs,equity_econ_sector_consumer_defensive_pct_long_rs,equity_econ_sector_energy_pct_long_rs,equity_econ_sector_financial_services_pct_long_rs,equity_econ_sector_healthcare_pct_long_rs,equity_econ_sector_industrials_pct_long_rs,equity_econ_sector_real_est_pct_long_rs,equity_econ_sector_technology_pct_long_rs,equity_econ_sector_utilities_pct_long_rs,equity_style_small_core_pct_long_rs,equity_style_small_value_pct_long_rs,equity_style_small_growth_pct_long_rs,equity_style_mid_value_pct_long_rs,equity_style_mid_growth_pct_long_rs,equity_style_mid_core_pct_long_rs,equity_style_large_value_pct_long_rs,equity_style_large_growth_pct_long_rs,equity_style_large_core_pct_long_rs,asset_alloc_conv_bond_pct_long_rs,asset_alloc_bond_pct_long_rs,asset_alloc_cash_pct_long_rs,asset_alloc_equity_pct_long_rs,asset_alloc_other_pct_long_rs,asset_alloc_pref_stock_pct_long_rs,fixed_inc_ps_ag_mtge_bck_pct_long_rs,fixed_inc_ps_asset_bck_pct_long_rs,fixed_inc_ps_bank_loan_pct_long_rs,fixed_inc_ps_commercial_mtge_bck_pct_long_rs,fixed_inc_ps_convertible_pct_long_rs,fixed_inc_ps_corporate_bond_pct_long_rs,fixed_inc_ps_covered_bond_pct_long_rs,fixed_inc_ps_forward_future_pct_long_rs,fixed_inc_ps_gov_pct_long_rs,fixed_inc_ps_gov_related_pct_long_rs,fixed_inc_ps_municipal_tax_exempt_pct_long_rs,fixed_inc_ps_municipal_taxable_pct_long_rs,fixed_inc_ps_non_ag_res_mtge_bck_pct_long_rs,fixed_inc_ps_option_warrant_pct_long_rs,fixed_inc_ps_preferred_stock_pct_long_rs,fixed_inc_ps_swap_pct_long_rs
0,2000-01,B07347,0.21,9.4,13.62,0.1,1.38,2.64,18.4,6.6,0.43,47.14,0.08,5.26,1.14,25.14,0.74,37.24,2.33,0.0,20.11,8.04,1.92,0.0,1.11,95.04,0.65,1.28,0.0,0.0,0.0,0.0,44.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.62,0.0
1,2000-01,B11999,7.33,1.57,21.56,3.78,6.08,7.34,11.84,14.71,0.26,25.44,0.09,30.27,25.83,31.26,0.38,11.62,0.63,0.0,0.0,0.0,0.0,0.0,3.14,96.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.79,0.0
2,2000-01,B13177,10.08,0.0,12.83,7.41,8.56,15.16,9.49,16.59,0.0,9.42,10.46,2.98,7.86,0.64,33.98,15.72,38.82,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,
3,2000-02,B04312,0.0,2.71,16.03,2.33,7.12,3.49,14.78,5.61,0.0,44.51,3.43,0.0,0.0,1.49,2.25,56.83,8.25,0.0,31.17,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,
4,2000-02,B07347,0.17,9.47,9.49,0.22,1.34,2.12,17.29,7.01,0.39,52.46,0.05,3.59,1.22,19.08,3.68,30.55,1.05,0.22,35.59,5.03,1.2,0.0,3.32,93.1,1.01,1.38,0.0,0.0,0.0,0.0,20.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.34,0.0
5,2000-02,B08385,2.01,9.62,9.58,2.52,2.59,8.47,9.5,8.45,2.66,42.0,2.6,10.48,8.94,16.13,4.59,28.34,5.58,0.4,24.17,1.37,0.0,0.0,2.3,97.6,0.09,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0
6,2000-02,B09833,7.81,0.0,12.34,6.49,5.62,21.01,6.29,14.94,4.92,7.56,13.02,14.4,23.2,1.39,42.95,0.86,14.55,2.65,0.0,0.0,0.0,0.0,2.7,97.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2000-02,B11999,4.37,2.78,12.66,2.96,6.17,5.12,14.25,9.85,0.22,41.56,0.06,20.41,13.67,44.1,2.51,16.63,1.26,0.0,1.42,0.0,0.0,0.0,3.8,96.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99,0.0
8,2000-02,B13177,9.03,0.0,10.28,8.62,8.71,15.78,8.75,14.88,0.0,14.81,9.15,6.05,9.47,0.7,31.35,18.09,34.35,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,
9,2000-02,B14040,0.0,12.18,7.66,3.8,7.86,7.47,11.2,7.04,0.0,41.22,1.58,3.01,3.41,2.66,5.74,35.32,11.98,0.0,37.88,0.0,0.0,0.0,6.95,93.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2000-03,B02396,3.53,0.0,27.65,1.97,0.0,3.05,5.18,33.31,0.0,25.3,0.0,31.38,12.14,5.9,10.86,9.38,20.97,0.0,9.37,0.0,0.0,0.0,1.64,98.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2000-03,B04312,0.0,4.0,16.01,4.2,9.19,5.08,11.61,9.3,0.0,40.62,0.0,0.0,0.0,5.03,2.77,58.28,6.56,0.0,27.36,0.0,0.0,0.0,8.48,91.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2000-03,B04313,2.07,0.0,31.71,1.53,5.4,10.5,21.37,5.32,0.0,22.12,0.0,16.58,6.11,7.52,6.78,25.53,27.81,0.0,9.69,0.0,0.0,0.0,3.54,96.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2000-03,B04841,0.9,31.81,15.46,1.52,2.57,19.33,5.93,13.94,0.0,8.53,0.0,2.88,6.0,0.51,19.45,38.99,21.75,5.46,4.37,0.59,0.0,0.61,0.0,97.42,0.0,1.97,0.0,0.0,0.0,0.0,0.0,80.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0
14,2000-03,B06061,5.15,10.43,11.51,3.66,9.79,27.66,6.3,11.63,1.41,12.46,0.0,5.75,0.85,0.0,14.02,6.6,23.84,39.32,3.25,6.37,0.0,0.0,1.36,95.5,0.0,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.71,0.0
15,2000-03,B07347,0.2,9.5,12.38,0.29,2.02,2.36,13.7,8.19,0.44,50.86,0.05,5.95,1.22,22.95,5.03,24.66,1.58,0.25,33.16,5.22,1.13,0.0,8.08,88.6,0.79,1.42,0.0,0.0,0.0,0.0,10.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,0.0
16,2000-03,B11222,5.72,0.0,25.53,6.93,0.0,9.06,2.29,5.88,1.07,43.51,0.0,13.77,14.15,5.36,1.28,12.89,3.01,0.0,43.23,6.31,0.0,0.0,1.6,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2000-03,B13086,0.0,32.1,14.98,2.74,0.0,0.23,12.09,8.17,0.0,29.68,0.0,0.97,0.0,3.83,0.0,58.18,3.19,3.06,27.16,3.6,0.0,0.0,0.89,99.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2000-03,B13177,7.01,0.0,12.66,8.79,8.19,18.11,8.76,15.47,0.0,13.38,7.62,4.91,4.24,1.74,40.44,14.47,34.22,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,
19,2000-04,B13177,9.89,0.0,12.61,7.66,4.95,18.81,9.21,15.63,0.0,12.61,8.62,6.19,5.89,1.53,39.39,9.9,34.4,0.0,1.59,1.11,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,
20,2000-05,B11999,4.95,2.16,14.26,3.72,9.28,4.75,14.16,11.89,0.18,34.59,0.05,24.27,14.66,50.1,2.08,8.43,0.47,0.0,0.0,0.0,0.0,0.0,4.29,95.37,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74,0.0
