,as_of,ask_id,equity_econ_sector_basic_materials_pct_long_rs,equity_econ_sector_communication_services_pct_long_rs,equity_econ_sector_consumer_cyclical_pct_long_rs,equity_econ_sector_consumer_defensive_pct_long_rs,equity_econ_sector_energy_pct_long_rs,equity_econ_sector_financial_services_pct_long_rs,equity_econ_sector_healthcare_pct_long_rs,equity_econ_sector_industrials_pct_long_rs,equity_econ_sector_real_est_pct_long_rs,equity_econ_sector_technology_pct_long_rs,equity_econ_sector_utilities_pct_long_rs,equity_style_small_core_pct_long_rs,equity_style_small_value_pct_long_rs,equity_style_small_growth_pct_long_rs,equity_style_mid_value_pct_long_rs,equity_style_mid_growth_pct_long_rs,equity_style_mid_core_pct_long_rs,equity_style_large_value_pct_long_rs,equity_style_large_growth_pct_long_rs,equity_style_large_core_pct_long_rs,asset_alloc_conv_bond_pct_long_rs,asset_alloc_bond_pct_long_rs,asset_alloc_cash_pct_long_rs,asset_alloc_equity_pct_long_rs,asset_alloc_other_pct_long_rs,asset_alloc_pref_stock_pct_long_rs,credit_qual_a_pct,credit_qual_aa_pct,credit_qual_aaa_pct,credit_qual_b_pct,credit_qual_bb_pct,credit_qual_bbb_pct,credit_qual_below_b_pct,credit_qual_not_rated_pct,fixed_inc_ps_ag_mtge_bck_pct_long_rs,fixed_inc_ps_asset_bck_pct_long_rs,fixed_inc_ps_bank_loan_pct_long_rs,fixed_inc_ps_commercial_mtge_bck_pct_long_rs,fixed_inc_ps_convertible_pct_long_rs,fixed_inc_ps_corporate_bond_pct_long_rs,fixed_inc_ps_covered_bond_pct_long_rs,fixed_inc_ps_forward_future_pct_long_rs,fixed_inc_ps_gov_pct_long_rs,fixed_inc_ps_gov_related_pct_long_rs,fixed_inc_ps_municipal_tax_exempt_pct_long_rs,fixed_inc_ps_municipal_taxable_pct_long_rs,fixed_inc_ps_non_ag_res_mtge_bck_pct_long_rs,fixed_inc_ps_option_warrant_pct_long_rs,fixed_inc_ps_preferred_stock_pct_long_rs,fixed_inc_ps_swap_pct_long_rs
0,2000-01,B00774,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.16,6.44,0.14,0.0,1.26,,,,,,,,,3.9,2.16,0.0,0.0,0.0,83.11,0.0,0.0,0.0,2.85,0.28,0.0,0.0,0.0,1.26,0.0
1,2000-01,B02390,,,,,,,,,,,,,,,,,,,,,18.7,77.91,1.81,0.0,0.0,1.59,,,,,,,,,0.66,1.35,0.0,0.0,18.7,70.5,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,1.59,0.0
2,2000-01,B10363,,,,,,,,,,,,,,,,,,,,,0.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,44.29,0.0,0.0,0.0,0.0,18.04,0.0,0.0,4.44,33.23,0.0,0.0,0.0,0.0,0.0,0.0
3,2000-01,B11505,,,,,,,,,,,,,,,,,,,,,0.0,98.88,1.12,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,96.69,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2000-01,B13135,,,,,,,,,,,,,,,,,,,,,0.0,90.62,8.36,0.04,0.0,0.98,,,,,,,,,6.73,5.42,0.0,0.0,0.0,52.26,0.0,0.0,21.08,4.89,0.0,0.0,0.28,0.0,0.98,0.0
5,2000-01,B14965,37.42,61.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,3.17,38.78,1.85,0.0,0.0,36.53,19.68,8.58,81.81,5.52,1.1,0.0,2.99,,,,,,,,,6.09,1.72,0.0,0.0,8.68,72.39,0.0,0.0,1.78,0.5,0.0,0.0,0.24,0.0,3.02,0.0
6,2000-01,B15191,,,,,,,,,,,,,,,,,,,,,0.0,84.0,16.0,0.0,0.0,0.0,,,,,,,,,69.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55,6.98,0.0,0.0,0.0,0.0,0.0,0.0
7,2000-02,B00774,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.77,0.35,0.14,0.0,5.74,,,,,,,,,3.83,4.23,0.0,0.0,0.0,85.57,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,5.74,0.0
8,2000-02,B02390,,,,,,,,,,,,,,,,,,,,,18.41,69.3,10.94,0.0,0.0,1.35,,,,,,,,,0.57,1.19,0.0,0.0,18.41,67.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0
9,2000-02,B06850,,,,,,,,,,,,,,,,,,,,,0.0,97.69,2.31,0.0,0.0,0.0,,,,,,,,,11.15,3.95,0.0,0.0,0.0,55.88,0.0,0.0,23.46,1.41,0.0,0.0,1.83,0.0,0.0,0.0
10,2000-02,B07245,,,,,,,,,,,,0.0,0.0,0.0,81.14,18.86,0.0,0.0,0.0,0.0,0.0,93.93,2.3,0.09,0.0,3.67,,,,,,,,,0.0,1.42,0.0,0.0,0.0,86.43,0.0,0.03,1.58,0.5,0.83,3.12,0.1,0.0,3.67,0.0
11,2000-02,B10363,,,,,,,,,,,,,,,,,,,,,0.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,44.15,0.0,0.0,0.0,0.0,18.08,0.0,0.0,4.43,33.35,0.0,0.0,0.0,0.0,0.0,0.0
12,2000-02,B11505,,,,,,,,,,,,,,,,,,,,,0.0,99.91,0.09,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,98.81,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2000-02,B13135,,,,,,,,,,,,,,,,,,,,,0.0,92.9,6.05,0.05,0.0,0.99,14.0,7.0,44.0,11.0,9.0,13.0,1.0,1.0,7.25,5.46,0.0,0.0,0.0,53.2,0.0,0.0,21.93,4.83,0.0,0.0,0.28,0.0,0.99,0.0
14,2000-02,B14867,,,,,,,,,,,,,,,,,,,,,0.0,99.68,0.32,0.0,0.0,0.0,,,,,,,,,14.39,0.83,0.0,0.0,0.0,74.13,0.0,0.0,4.62,5.71,0.0,0.0,0.0,0.0,0.0,0.0
15,2000-03,B00450,,,,,,,,,,,,,,,,,,,,,0.0,99.45,0.55,0.0,0.0,0.0,,,,,,,,,20.0,4.59,0.0,0.0,0.0,22.5,0.0,0.0,5.81,0.0,0.46,5.61,40.47,0.0,0.0,0.0
16,2000-03,B00774,0.0,0.0,0.0,0.0,2.57,97.43,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,84.05,6.3,5.24,0.0,4.41,,,,,,,,,4.09,4.57,0.0,0.0,0.0,79.75,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,4.66,0.0
17,2000-03,B02390,,,,,,,,,,,,,,,,,,,,,20.92,74.85,2.54,0.0,0.0,1.69,,,,,,,,,0.59,1.25,0.0,0.0,20.92,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0
18,2000-03,B03777,,,,,,,,,,,,,,,,,,,,,0.0,94.24,5.76,0.0,0.0,0.0,,,,,,,,,30.89,8.74,0.0,0.0,0.0,35.16,0.0,0.0,14.38,6.02,0.0,0.0,0.0,0.0,0.0,0.0
19,2000-03,B05350,,,,,,,,,,,,,,,,,,,,,0.0,97.27,2.73,0.0,0.0,0.0,,,,,,,,,0.0,2.16,0.0,0.0,0.0,94.74,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2000-03,B06096,,,,,,,,,,,,,,,,,,,,,0.0,100.0,0.0,0.0,0.0,0.0,17.08,5.94,21.3,0.4,12.53,42.69,0.0,0.06,5.07,0.52,0.0,0.0,0.0,76.52,0.0,5.88,5.51,6.49,0.0,0.0,0.0,0.0,0.0,0.0
21,2000-03,B06850,,,,,,,,,,,,,,,,,,,,,0.0,96.64,3.36,0.0,0.0,0.0,11.5,6.8,48.4,3.0,12.8,16.6,0.0,0.9,11.15,3.97,0.0,0.0,0.0,53.1,0.0,0.0,25.12,1.43,0.0,0.0,1.87,0.0,0.0,0.0
22,2000-03,B07245,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,95.17,1.55,0.13,0.03,3.13,23.27,5.5,9.43,0.53,12.19,48.57,0.0,0.51,0.0,1.42,0.0,0.0,0.0,88.4,0.0,0.0,0.7,0.63,0.85,3.21,0.1,0.0,3.13,0.0
23,2000-03,B10363,,,,,,,,,,,,,,,,,,,,,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,43.14,0.0,0.0,0.0,0.0,17.9,0.0,0.0,5.21,33.75,0.0,0.0,0.0,0.0,0.0,0.0
24,2000-03,B11505,,,,,,,,,,,,,,,,,,,,,0.0,99.68,0.32,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,99.23,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
